PRIM_STATE,mean_annual_salary
GU,"40,350"
VT,"70,440"
AK,"103,790"
AZ,"83,350"
CA,"92,970"
CO,"80,760"
FL,"104,130"
GA,"80,480"
GA,"75,450"
IL,"84,760"
IN,"75,240"
IN,"67,540"
IN,"66,600"
IA,"77,600"
KY,"86,300"
KY,"57,880"
KY,"82,550"
ME,"85,380"
ME,"99,550"
MI,"63,590"
MI,"79,820"
MS,"55,520"
MO,"72,600"
MO,"68,290"
MO,"71,280"
NE,"79,980"
NV,"123,430"
NH,"102,220"
NH,"76,960"
NY,"80,100"
NY,"80,120"
NY,"107,670"
NC,"96,270"
NC,"101,920"
NC,"113,340"
OH,"89,640"
OH,"80,690"
OK,"99,420"
OK,"69,170"
OK,"82,690"
OK,"80,900"
PA,"63,880"
PA,"78,320"
PA,"82,220"
TX,"89,390"
TX,"124,170"
UT,"99,990"
VT,*
WI,"80,340"
WI,"87,490"
AK,"90,850"
AZ,"73,650"
AR,"67,600"
CA,"75,240"
CA,"77,680"
CA,"76,630"
CO,"76,430"
CO,"72,530"
FL,"61,840"
HI,"73,080"
KS,"67,630"
MI,"76,050"
MN,"65,310"
MS,"67,760"
MS,"79,640"
MS,"96,070"
MO,"63,420"
MO,"54,660"
MO,"64,520"
MT,"67,620"
MT,"79,470"
MT,"68,230"
NE,"85,900"
NV,"79,930"
NH,"79,120"
NM,"74,300"
NM,"75,240"
ND,"80,680"
OK,"68,140"
OK,"66,440"
OR,"79,360"
OR,"74,210"
OR,"76,690"
SD,"65,690"
SD,"74,360"
UT,"74,060"
UT,"75,680"
VT,"66,820"
WA,"78,750"
WA,"75,360"
WV,"65,500"
WI,*
WY,"74,450"
WY,"69,610"
