"","NAICS_TITLE","A_MEAN","category"
"341","Merchant Wholesalers, Nondurable Goods","88,580","Retail and Wholesale Trade"
"342","Merchant Wholesalers, Nondurable Goods","86,130","Retail and Wholesale Trade"
"343","Merchant Wholesalers, Nondurable Goods","144,280","Retail and Wholesale Trade"
"344","Merchant Wholesalers, Nondurable Goods","109,060","Retail and Wholesale Trade"
"345","Merchant Wholesalers, Nondurable Goods","109,060","Retail and Wholesale Trade"
"346","Merchant Wholesalers, Nondurable Goods","107,000","Retail and Wholesale Trade"
"347","Apparel, Piece Goods, and Notions Merchant Wholesalers","109,500","Retail and Wholesale Trade"
"348","Apparel, Piece Goods, and Notions Merchant Wholesalers","109,500","Retail and Wholesale Trade"
"349","Wholesale Trade Agents and Brokers","72,270","Retail and Wholesale Trade"
"350","Wholesale Trade Agents and Brokers","99,780","Retail and Wholesale Trade"
"351","Wholesale Trade Agents and Brokers","124,210","Retail and Wholesale Trade"
"352","Wholesale Trade Agents and Brokers","109,180","Retail and Wholesale Trade"
"353","Wholesale Trade Agents and Brokers","109,180","Retail and Wholesale Trade"
"354","Wholesale Trade Agents and Brokers","146,260","Retail and Wholesale Trade"
"355","Wholesale Trade Agents and Brokers","72,270","Retail and Wholesale Trade"
"356","Wholesale Trade Agents and Brokers","99,780","Retail and Wholesale Trade"
"357","Wholesale Trade Agents and Brokers","124,210","Retail and Wholesale Trade"
"358","Wholesale Trade Agents and Brokers","109,180","Retail and Wholesale Trade"
"359","Wholesale Trade Agents and Brokers","109,180","Retail and Wholesale Trade"
"360","Wholesale Trade Agents and Brokers","146,260","Retail and Wholesale Trade"
"361","Motor Vehicle and Parts Dealers","127,420","Accommodation, Food Services, and Entertainment"
"362","Motor Vehicle and Parts Dealers","121,540","Accommodation, Food Services, and Entertainment"
"363","Motor Vehicle and Parts Dealers","121,540","Accommodation, Food Services, and Entertainment"
"364","Automobile Dealers","129,720","Other Industries"
"365","Other Motor Vehicle Dealers","109,580","Other Industries"
"366","Automotive Parts, Accessories, and Tire Retailers","143,290","Retail and Wholesale Trade"
"367","Automotive Parts, Accessories, and Tire Retailers","143,290","Retail and Wholesale Trade"
"368","Building Material and Garden Equipment and Supplies Dealers","108,830","Other Industries"
"369","Building Material and Garden Equipment and Supplies Dealers","108,830","Other Industries"
"370","Building Material and Supplies Dealers","109,220","Other Industries"
"371","Building Material and Supplies Dealers","109,220","Other Industries"
"372","Food and Beverage Retailers","41,900","Retail and Wholesale Trade"
"373","Food and Beverage Retailers","66,950","Retail and Wholesale Trade"
"374","Food and Beverage Retailers","66,950","Retail and Wholesale Trade"
"375","Furniture, Home Furnishings, Electronics, and Appliance Retailers","63,660","Retail and Wholesale Trade"
"376","Furniture, Home Furnishings, Electronics, and Appliance Retailers","81,420","Retail and Wholesale Trade"
"377","Furniture, Home Furnishings, Electronics, and Appliance Retailers","104,930","Retail and Wholesale Trade"
"378","Furniture, Home Furnishings, Electronics, and Appliance Retailers","104,930","Retail and Wholesale Trade"
"379","Furniture and Home Furnishings Retailers","65,560","Retail and Wholesale Trade"
"380","Furniture and Home Furnishings Retailers","76,290","Retail and Wholesale Trade"
"381","Furniture and Home Furnishings Retailers","76,290","Retail and Wholesale Trade"
"382","General Merchandise Retailers","58,740","Retail and Wholesale Trade"
"383","General Merchandise Retailers","110,300","Retail and Wholesale Trade"
"384","General Merchandise Retailers","132,130","Retail and Wholesale Trade"
"385","General Merchandise Retailers","132,130","Retail and Wholesale Trade"
"386","General Merchandise Retailers","58,740","Retail and Wholesale Trade"
"387","General Merchandise Retailers","110,300","Retail and Wholesale Trade"
"388","General Merchandise Retailers","132,130","Retail and Wholesale Trade"
"389","General Merchandise Retailers","132,130","Retail and Wholesale Trade"
"390","Health and Personal Care Retailers","92,690","Healthcare and Social Assistance"
"391","Health and Personal Care Retailers","93,980","Healthcare and Social Assistance"
"392","Health and Personal Care Retailers","100,810","Healthcare and Social Assistance"
"393","Health and Personal Care Retailers","100,810","Healthcare and Social Assistance"
"394","Health and Personal Care Retailers","92,690","Healthcare and Social Assistance"
"395","Health and Personal Care Retailers","93,980","Healthcare and Social Assistance"
"396","Health and Personal Care Retailers","100,810","Healthcare and Social Assistance"
"397","Health and Personal Care Retailers","100,810","Healthcare and Social Assistance"
"398","Pharmacies and Drug Retailers","75,310","Retail and Wholesale Trade"
"399","Pharmacies and Drug Retailers","94,240","Retail and Wholesale Trade"
"400","Pharmacies and Drug Retailers","91,460","Retail and Wholesale Trade"
"401","Pharmacies and Drug Retailers","91,460","Retail and Wholesale Trade"
"402","Gasoline Stations and Fuel Dealers","157,410","Other Industries"
"403","Clothing, Clothing Accessories, Shoe, and Jewelry Retailers","86,850","Retail and Wholesale Trade"
